Name,Price,Source,Page
"Tecno Spark 50 5G (Fantasy Purple, 4GB+128GB) | 6500mAh Battery + 45W Fast Charger | Upto 18GB* RAM | MIL-STD 810H Protection | Fastest 8X Network Speed* with URSP | 120Hz Smooth Display",16999,Amazon,1
"REDMI A7 Pro 5G (Sunset Orange, 4GB RAM, 64GB Storage) | Segment's Fastest Processor | Segment's Largest Battery | Segment's Largest & Smoothest 6.9in 120Hz Display",11499,Amazon,1
"Samsung Galaxy M06 5G Mobile (Sage Green, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6300 | AnTuTu 623K+ | 12 5G Bands | 25W Fast Charging | 4 Gen OS Upgrades | 50MP Camera | Without Charger",11499,Amazon,1
"POCO C71, Power Black (6GB, 128GB)",9999,Amazon,1
"Nokia All-new 105 Single Sim Keypad Phone with Built-in UPI Payments, Long-Lasting Battery, Wireless FM Radio| 1 Year Replacement Guarantee | Cyan",1249,Amazon,1
"Redmi A4 5G (Sparkle Purple, 4GB RAM, 128GB Storage) | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging | Charger in the Box",11999,Amazon,1
"realme NARZO 80 Pro 5G (Speed Silver,8GB+256GB) | Segment's 1st MediaTek Dimensity 7400 Chipset | 6000mAh Titan Battery + 80W Ultra Charge | 4500nits HyperGlow Esports Display | IP69 Waterproof",20998,Amazon,1
"Lava Bold N1 Pro (Stealth Black, 4 GB RAM, 128 GB Storage)| Bigger 6.67"" HD+ IP54 Display | 120 Hz Refresh Rate | 50 MP AI Triple Rear Camera | 8 MP Front Camera| 5000 mAh Battery| Charger in Box",8499,Amazon,1
"Samsung Galaxy M07 Mobile (Black, 4GB RAM, 64GB Storage) | MediaTek Helio G99 | AnTuTu 624K | IP54| 50MP Camera | 7.6mm Slim | 5000mAh Battery | 25W Fast Charging | 6 Gen OS Upgrades | Without Charger",9499,Amazon,1
"realme NARZO 80 Lite 4G (Beach Gold, 4GB+64GB) | 6300mAh Segment's Biggest Battery | 7.94mm Slim Design | 300% Ultra Volume | Pulse Light: 9 Colors, 5 Glow Modes | Ai Assist",8998,Amazon,1
"realme 15 Lite Smartphone 8+128GB Green, 6.67-inch Screen, 120Hz Display, 80W SuperVOOC, 5000mAh Battery, 50MP Camera, Dimensity 7300 Energy, IP65.",17299,Amazon,1
"realme 16 Pro 5G Smartphone 12+256GB Pebble Grey, 144Hz AMOLED Display,7000mAh Battery,80W SuperVOOC, 200MP Primary Camera 50MP Front Camera, MediaTek 7300-Max Processor,IP69",40999,Amazon,1
"Samsung Galaxy M56 5G Mobile (Light Green,8GB RAM,256GB Storage)| Segment's Slimmest|Gorilla Glass Victus+| 10 Bit HDR Video| 50MP Camera| AI | Vapour Cooling Chamber| Lag-free Gaming| Without Charger",24998,Amazon,1
"Samsung Galaxy M36 5G Mobile (Orange Haze, 6GB RAM, 128GB Storage) | Google Gemini| Gorilla Glass Victus+ | 7.7mm | AI Enhanced 50MP OIS Triple Camera | Nightography| Lag-free Gaming | Without Charger",16999,Amazon,1
